 A  |  B  | Res | Flags (SZDOE)
----|-----|-----|--------------
-3 | -3 | -3 | 10010
-3 | -2 | -1 | 10010
-3 | -1 | -3 | 10010
-3 |  0 | -1 | 10110
-3 |  1 |  0 | 01001
-3 |  2 | -1 | 10010
-3 |  3 | -3 | 10010
-2 | -3 |  0 | 01001
-2 | -2 | -2 | 10001
-2 | -1 | -2 | 10001
-2 |  0 | -2 | 10101
-2 |  1 |  0 | 01001
-2 |  2 | -2 | 10001
-2 |  3 | -2 | 10001
-1 | -3 | -3 | 10010
-1 | -2 | -1 | 10010
-1 | -1 | -1 | 10010
-1 |  0 | -1 | 10110
-1 |  1 |  0 | 01001
-1 |  2 | -1 | 10010
-1 |  3 | -1 | 10010
 0 | -3 |  0 | 01001
 0 | -2 |  0 | 01001
 0 | -1 |  0 | 01001
 0 |  0 |  0 | 01101
 0 |  1 |  0 | 01001
 0 |  2 |  0 | 01001
 0 |  3 |  0 | 01001
 1 | -3 |  1 | 00010
 1 | -2 |  1 | 00010
 1 | -1 |  1 | 00010
 1 |  0 |  1 | 00110
 1 |  1 |  0 | 01001
 1 |  2 |  1 | 00010
 1 |  3 |  1 | 00010
 2 | -3 |  0 | 01001
 2 | -2 |  2 | 00001
 2 | -1 |  2 | 00001
 2 |  0 |  0 | 01101
 2 |  1 |  0 | 01001
 2 |  2 |  2 | 00001
 2 |  3 |  2 | 00001
 3 | -3 |  1 | 00010
 3 | -2 |  3 | 00010
 3 | -1 |  3 | 00010
 3 |  0 |  1 | 00110
 3 |  1 |  0 | 01001
 3 |  2 |  3 | 00010
 3 |  3 |  3 | 00010
-------------------------------
Simulation Complete.
